"codigo_intervencion","fecha_registro_intervencion","nombre_intervencion","objetivo_general","fecha_inicial","fecha_final","estado_intervencion","modalidad_cooperacion","plan_nacional_desarrollo","hoja_ruta","ods","sectores_gobierno","nombre_del_actor","tipo_de_actor","pais_del_actor","rol_del_actor","tipo_de_asistencia","monto_aporte_en_usd","es_adicion","total_territorios"
"R-BL-16-10102","2016-04-01T00:00:00.000","Proyecto de Apoyo al Sistema Financiero Agrícola - PASAC RECURSOS 2016-2019","Aumentar los servicios financieros, seguros y la capacidad financiera de las cooperativas agrícolas.,Aumentar los servicios financieros, seguros y la capacidad financiera de las cooperativas agrícolas.","2016-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/03. Transformación del campo/3.2 Impulsar la competitividad rural.","1. FOCALIZAR Y DINAMIZAR.C. Desarrollo Rural Sostenible","08. Trabajo decente y crecimiento económico","Agricultura y Desarrollo Rural","DÉVELOPPEMENT INTERNATIONAL DESJARDINS (DID)","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Canadá","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-16-12950","2016-04-01T00:00:00.000","Mujeres Indígenas construyendo paz en Colombia","Avanzar en la garantía de los derechos de las mujeres indígenas, y facilitar discusiones sobre política pública para la inclusión, resiliencia, derechos de las mujeres y derechos de los indígenas","2016-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.2 Fortalecer los mecanismos de transición hacia la paz.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","05. IGUALDAD DE GÉNERO/5.5.Garantizar la participación plena y efectiva de las mujeres y la igualdad de oportunidades para el liderazgo en todos los niveles de toma de decisiones en la vida política, económica y
pública.","Inclusión Social y Reconciliación","CANADA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Canadá","| Donante","| Asistencia Financiera","390759.1648","SI","1"
"R-BL-16-12950","2016-04-01T00:00:00.000","Mujeres Indígenas construyendo paz en Colombia","Avanzar en la garantía de los derechos de las mujeres indígenas, y facilitar discusiones sobre política pública para la inclusión, resiliencia, derechos de las mujeres y derechos de los indígenas","2016-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.2 Fortalecer los mecanismos de transición hacia la paz.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","05. IGUALDAD DE GÉNERO/5.5.Garantizar la participación plena y efectiva de las mujeres y la igualdad de oportunidades para el liderazgo en todos los niveles de toma de decisiones en la vida política, económica y
pública.","Inclusión Social y Reconciliación","CONCILIATION RESOURCES","INTERNACIONAL/PRIVADO/EMPRESAS","Reino Unido","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-16-13032","2016-04-01T00:00:00.000","IMPACT (D002613, 2016-2020)","Incrementar la integridad, transparencia y rendición de cuentas de instituciones públicas y empresas, mientras empodera a la sociedad civil para incidir en un cambio en la política y la práctica.","2016-04-01T00:00:00.000","2020-03-31T00:00:00.000","Ejecución","Bilateral","Estrategias Transversales/05. Buen gobierno/5.1 Lucha contra la corrupción, transparencia y rendición de cuentas.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16. PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS/16.5.Reducir sustancialmente la corrupción y el soborno en todas sus formas.","Organismos de Control","CANADA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Canadá","| Donante","| Asistencia Financiera","893012.4674","SI","1"
"R-BL-16-13032","2016-04-01T00:00:00.000","IMPACT (D002613, 2016-2020)","Incrementar la integridad, transparencia y rendición de cuentas de instituciones públicas y empresas, mientras empodera a la sociedad civil para incidir en un cambio en la política y la práctica.","2016-04-01T00:00:00.000","2020-03-31T00:00:00.000","Ejecución","Bilateral","Estrategias Transversales/05. Buen gobierno/5.1 Lucha contra la corrupción, transparencia y rendición de cuentas.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16. PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS/16.5.Reducir sustancialmente la corrupción y el soborno en todas sus formas.","Organismos de Control","TRANSPARENCIA POR COLOMBIA","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-16-13034","2016-04-01T00:00:00.000","Transformando territorios","Informar la implementación de programas de seguridad rural como parte de la agenda nacional de posconflicto","2016-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Bilateral","Estrategias Transversales/03. Transformación del campo/3.3 Fortalecimiento institucional de la presencia territorial.","1. FOCALIZAR Y DINAMIZAR.C. Desarrollo Rural Sostenible","11. CIUDADES Y COMUNIDADES SOSTENIBLES/11.a.Apoyar vínculos económicos, sociales y ambientales positivos entre las zonas urbanas, periurbanas y rurales mediante el fortalecimiento de la planificación para el desarrollo nacional y
regional.","Agricultura y Desarrollo Rural","CANADA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Canadá","| Donante","| Asistencia Financiera","1616660.501","SI","1"
"R-BL-16-13034","2016-04-01T00:00:00.000","Transformando territorios","Informar la implementación de programas de seguridad rural como parte de la agenda nacional de posconflicto","2016-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Bilateral","Estrategias Transversales/03. Transformación del campo/3.3 Fortalecimiento institucional de la presencia territorial.","1. FOCALIZAR Y DINAMIZAR.C. Desarrollo Rural Sostenible","11. CIUDADES Y COMUNIDADES SOSTENIBLES/11.a.Apoyar vínculos económicos, sociales y ambientales positivos entre las zonas urbanas, periurbanas y rurales mediante el fortalecimiento de la planificación para el desarrollo nacional y
regional.","Agricultura y Desarrollo Rural","CENTRO LATINOAMÉRICANO PARA EL DESARROLLO RURAL - RIMISP","INTERNACIONAL/ORGANISMO MULTILATERAL/REGIONAL","Chile","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-16-13035","2016-04-01T00:00:00.000","SCALA: conectar a jóvenes y mujeres vulnerables con redes de innovación en la comercialización - IDRC","Escalar modelos de negocio para generar oportunidades de ingreso para mujeres y jóvenes vulnerables.","2016-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Bilateral","Estrategias Transversales/02. Movilidad social/2.4 Alternativas para el empleo de calidad y el aseguramiento.","1. FOCALIZAR Y DINAMIZAR/D. Otro","08. TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO/8.5.Para 2030 lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y hombres, incluidos los jóvenes y las personas con discapacidad, y la igualdad de remuneración para el trabajo de igual valor.","Comercio, Industria y Turismo","CANADA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Canadá","| Donante","| Asistencia Financiera","585077.1338","SI","1"
"R-BL-16-13040","2016-04-01T00:00:00.000","Seguridad para mujeres y población LGBTI en zonas afectadas por el conflicto armado en Colombia - IDRC","Mejorar la seguridad de mujeres y población LGBTI afectada por violencia de género en tres regiones que serán críticas en el contexto de posconflicto en Colombia","2016-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Bilateral","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.4 Promoción, respeto y protección de Derechos Humanos.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16. PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS/16.1.Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.","Inclusión Social y Reconciliación","CANADA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Canadá","| Donante","| Asistencia Financiera","500394.9171","SI","1"
"R-BL-16-13040","2016-04-01T00:00:00.000","Seguridad para mujeres y población LGBTI en zonas afectadas por el conflicto armado en Colombia - IDRC","Mejorar la seguridad de mujeres y población LGBTI afectada por violencia de género en tres regiones que serán críticas en el contexto de posconflicto en Colombia","2016-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Bilateral","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.4 Promoción, respeto y protección de Derechos Humanos.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16. PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS/16.1.Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.","Inclusión Social y Reconciliación","FUNDACIÓN IDEAS PARA LA PAZ","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Default TIPO_ASISTENCIA_INT","0","SI","1"
"R-ML-16-11684","2016-04-19T00:00:00.000","Desarrollo Sostenible Bajo Carbono en la Región Orinoquía","Mejorar las condiciones propicias para la planificación y ordenación del paisaje sostenible y con bajas emisiones de carbono en zonas específicas de la región de Orinoquia","2016-04-19T00:00:00.000","2030-08-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","13. Acción por el clima","Ambiente y Desarrollo Sostenible","BANCO MUNDIAL","INTERNACIONAL/ORGANISMO MULTILATERAL/BANCA MULTILATERAL","Estados Unidos","| Donante","| Asistencia Financiera | Asistencia Humanitaria","1350000","SI","1"
"R-ML-16-11684","2016-04-19T00:00:00.000","Desarrollo Sostenible Bajo Carbono en la Región Orinoquía","Mejorar las condiciones propicias para la planificación y ordenación del paisaje sostenible y con bajas emisiones de carbono en zonas específicas de la región de Orinoquia","2016-04-19T00:00:00.000","2030-08-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","13. Acción por el clima","Ambiente y Desarrollo Sostenible","BANCO MUNDIAL","INTERNACIONAL/ORGANISMO MULTILATERAL/BANCA MULTILATERAL","Estados Unidos","| Donante","| Asistencia Financiera | Asistencia Humanitaria","3900000","SI","1"
"R-ML-16-11684","2016-04-19T00:00:00.000","Desarrollo Sostenible Bajo Carbono en la Región Orinoquía","Mejorar las condiciones propicias para la planificación y ordenación del paisaje sostenible y con bajas emisiones de carbono en zonas específicas de la región de Orinoquia","2016-04-19T00:00:00.000","2030-08-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","13. Acción por el clima","Ambiente y Desarrollo Sostenible","DEPARTAMENTO NACIONAL DE PLANEACIÓN","NACIONAL/PÚBLICO/RAMA EJECUTIVA/PLANEACIÓN","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Socio-Aliado","| Asistencia Técnica","0","SI","1"
"R-ML-16-11684","2016-04-19T00:00:00.000","Desarrollo Sostenible Bajo Carbono en la Región Orinoquía","Mejorar las condiciones propicias para la planificación y ordenación del paisaje sostenible y con bajas emisiones de carbono en zonas específicas de la región de Orinoquia","2016-04-19T00:00:00.000","2030-08-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","13. Acción por el clima","Ambiente y Desarrollo Sostenible","INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES DE COLOMBIA - IDEAM","NACIONAL/PÚBLICO/RAMA EJECUTIVA/AMBIENTE Y DESARROLLO SOSTENIBLE","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Socio-Aliado","| Asistencia Técnica","0","SI","1"
"R-ML-16-11684","2016-04-19T00:00:00.000","Desarrollo Sostenible Bajo Carbono en la Región Orinoquía","Mejorar las condiciones propicias para la planificación y ordenación del paisaje sostenible y con bajas emisiones de carbono en zonas específicas de la región de Orinoquia","2016-04-19T00:00:00.000","2030-08-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","13. Acción por el clima","Ambiente y Desarrollo Sostenible","MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL","NACIONAL/PÚBLICO/RAMA EJECUTIVA/AGRICULTURA Y DESARROLLO RURAL","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Socio-Aliado","| Asistencia Técnica","0","SI","1"
"R-ML-16-11684","2016-04-19T00:00:00.000","Desarrollo Sostenible Bajo Carbono en la Región Orinoquía","Mejorar las condiciones propicias para la planificación y ordenación del paisaje sostenible y con bajas emisiones de carbono en zonas específicas de la región de Orinoquia","2016-04-19T00:00:00.000","2030-08-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","13. Acción por el clima","Ambiente y Desarrollo Sostenible","MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE","NACIONAL/PÚBLICO/RAMA EJECUTIVA/AMBIENTE Y DESARROLLO SOSTENIBLE","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Socio-Aliado","| Asistencia Técnica","0","SI","1"
"R - BL - 16 - 009783","2016-05-02T00:00:00.000","Programa  Alianzas para la Reconciliación (PAR)","Contribuir a una mayor conciencia en los colombianos sobre la posibilidad de ser parte de la construcción de paz en el país.","2016-05-02T00:00:00.000","2021-05-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.2 Fortalecer los mecanismos de transición hacia la paz.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16. Paz, justicia e instituciones sólidas","Inclusión Social y Reconciliación","EE.UU.","INTERNACIONAL/BILATERAL/SECTORIAL/EMBAJADAS","Estados Unidos","| Donante","| Asistencia Técnica","55000000","SI","1"
"R-BL-16-11722","2016-05-10T00:00:00.000","Fortalecimiento del proyecto Corredor Verde","Apoyar el Municipio de Cali en la estructuración del proyecto de Corredor Verde","2016-05-10T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Regionales/4. Pacífico: Desarrollo económico con equidad, integración y sostenibilidad ambiental","1. FOCALIZAR Y DINAMIZAR/D. Otro","11. Ciudades y comunidades sostenibles","Vivienda Ciudad y Territorio","AGENCIA FRANCESA DE DESARROLLO","INTERNACIONAL/BILATERAL/SECTORIAL/AGENCIAS DE COOPERACIÓN","Francia","| Donante","| Asistencia Financiera","1245860.463","SI","1"
"R-BL-16-11722","2016-05-10T00:00:00.000","Fortalecimiento del proyecto Corredor Verde","Apoyar el Municipio de Cali en la estructuración del proyecto de Corredor Verde","2016-05-10T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Regionales/4. Pacífico: Desarrollo económico con equidad, integración y sostenibilidad ambiental","1. FOCALIZAR Y DINAMIZAR/D. Otro","11. Ciudades y comunidades sostenibles","Vivienda Ciudad y Territorio","FUNDACIÓN PARA EL DESARROLLO INTEGRAL DEL PACÍFICO","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Financiera","0","SI","1"
"44225V","2016-06-01T00:00:00.000","DESARROLLO ORIENTADO AL TRANSPORTE  (DOT) EN COLOMBIA - NAMA ( ACCIÓN NACIONALMENTE APROPIADA DE MITIGACIÓN) - TOD/NAMA","EL PROYECTO BUSCA PROMOVER BARRIOS MEJOR DISEÑADOS, ORIENTADOS AL TRÁNSITO Y CONTRIBUIR A LA REDUCCIÓN DE LOS COSTES DE TRANSPORTE DE LOS HOGARES, UN MEJOR ACCESO A EMPLEOS Y SERVICIOS Y LA MEJORA DE LA INCLUSIÓN SOCIAL EN EL ÁREA RESPECTIVA. ,EL PROYECTO BUSCA PROMOVER BARRIOS MEJOR DISEÑADOS, ORIENTADOS AL TRÁNSITO Y CONTRIBUIR A LA REDUCCIÓN DE LOS COSTES DE TRANSPORTE DE LOS HOGARES, UN MEJOR ACCESO A EMPLEOS Y SERVICIOS Y LA MEJORA DE LA INCLUSIÓN SOCIAL EN EL ÁREA RESPECTIVA.","2016-06-01T00:00:00.000","2019-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","11. Ciudades y comunidades sostenibles","Ambiente y Desarrollo Sostenible","ALEMANIA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Alemania","| Donante","| Asistencia Financiera","10163300","SI","1"
"44225V","2016-06-01T00:00:00.000","DESARROLLO ORIENTADO AL TRANSPORTE  (DOT) EN COLOMBIA - NAMA ( ACCIÓN NACIONALMENTE APROPIADA DE MITIGACIÓN) - TOD/NAMA","EL PROYECTO BUSCA PROMOVER BARRIOS MEJOR DISEÑADOS, ORIENTADOS AL TRÁNSITO Y CONTRIBUIR A LA REDUCCIÓN DE LOS COSTES DE TRANSPORTE DE LOS HOGARES, UN MEJOR ACCESO A EMPLEOS Y SERVICIOS Y LA MEJORA DE LA INCLUSIÓN SOCIAL EN EL ÁREA RESPECTIVA. ,EL PROYECTO BUSCA PROMOVER BARRIOS MEJOR DISEÑADOS, ORIENTADOS AL TRÁNSITO Y CONTRIBUIR A LA REDUCCIÓN DE LOS COSTES DE TRANSPORTE DE LOS HOGARES, UN MEJOR ACCESO A EMPLEOS Y SERVICIOS Y LA MEJORA DE LA INCLUSIÓN SOCIAL EN EL ÁREA RESPECTIVA.","2016-06-01T00:00:00.000","2019-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","11. Ciudades y comunidades sostenibles","Ambiente y Desarrollo Sostenible","REINO UNIDO","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Reino Unido","| Donante","| Asistencia Financiera","0","SI","1"
"R-AO-16-11501","2016-06-01T00:00:00.000","Bussiness in development facility Hub 2016-2019","Mejorar las condiciones económicas de hombres y mujeres que han sido victimas del conflicto armado interno facilitando la inclusión  de sus pequeñas escalas de producción  en la cadena de valor de las empresas, a través del  desarrollo ambiental sostenible y las alianzas publico privadas.","2016-06-01T00:00:00.000","2019-11-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas/1.2 Desarrollo productivo.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","01. Fin de la pobreza","Inclusión Social y Reconciliación","FUNDACIÓN ANDI","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-16-11501","2016-06-01T00:00:00.000","Bussiness in development facility Hub 2016-2019","Mejorar las condiciones económicas de hombres y mujeres que han sido victimas del conflicto armado interno facilitando la inclusión  de sus pequeñas escalas de producción  en la cadena de valor de las empresas, a través del  desarrollo ambiental sostenible y las alianzas publico privadas.","2016-06-01T00:00:00.000","2019-11-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas/1.2 Desarrollo productivo.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","01. Fin de la pobreza","Inclusión Social y Reconciliación","SUECIA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Suecia","| Donante","| Asistencia Técnica","407000","SI","1"
"R-BL-16-49129","2016-06-24T00:00:00.000","FORTALECIMIENTO DE LA CADENA DE VALOR  HORTIFRUTICOLA EN COLOMBIA  DESARROLLO ECONOMICO RURAL INCLUYENTE","Construir Centros para Productores de Cacao en Cesar","2016-06-24T00:00:00.000","2020-06-24T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/03. Transformación del campo/3.2 Impulsar la competitividad rural.","1. FOCALIZAR Y DINAMIZAR.C. Desarrollo Rural Sostenible","10. Reducción de las desigualdades","Agricultura y Desarrollo Rural","COREA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Corea del Sur","| Donante","| Asistencia Financiera","4000000","SI","1"
"R-BL-16-49129","2016-06-24T00:00:00.000","FORTALECIMIENTO DE LA CADENA DE VALOR  HORTIFRUTICOLA EN COLOMBIA  DESARROLLO ECONOMICO RURAL INCLUYENTE","Construir Centros para Productores de Cacao en Cesar","2016-06-24T00:00:00.000","2020-06-24T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/03. Transformación del campo/3.2 Impulsar la competitividad rural.","1. FOCALIZAR Y DINAMIZAR.C. Desarrollo Rural Sostenible","10. Reducción de las desigualdades","Agricultura y Desarrollo Rural","PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO","INTERNACIONAL/ORGANISMO MULTILATERAL/AGENCIA DEL SISTEMA DE NACIONES UNIDAS","Estados Unidos","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-16-11355","2016-07-07T00:00:00.000","IMPLEMENTACION NAMA TECNOLOGIA","Acciones Nacionales de Mitigación Apropiadas (NAMA -nationally appropriate mitigation actions, en su sigla en inglés), de un piloto para proyectos de transferencia de tecnología en el sector industrial con Corporación Ambiental Empresarial (CAEM)","2016-07-07T00:00:00.000","2019-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","07. Energía asequible y no contaminante","Minas y Energía","PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO PNUD","INTERNACIONAL/ORGANISMO MULTILATERAL/AGENCIA DEL SISTEMA DE NACIONES UNIDAS","Estados Unidos","| Donante","| Asistencia Técnica","0","SI","1"
"R-BL-16-11383","2016-07-07T00:00:00.000","IMPLEMENTACION NAMA TECNOLOGIA","Acciones Nacionales de Mitigación Apropiadas (NAMA -nationally appropriate mitigation actions, en su sigla en inglés), de un piloto para proyectos de transferencia de tecnología en el sector industrial con Corporación Ambiental Empresarial (CAEM)","2016-07-07T00:00:00.000","2019-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde","1. FOCALIZAR Y DINAMIZAR/D. Otro","07. Energía asequible y no contaminante","Ambiente y Desarrollo Sostenible","PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO PNUD","INTERNACIONAL/ORGANISMO MULTILATERAL/AGENCIA DEL SISTEMA DE NACIONES UNIDAS","Estados Unidos","| Donante","| Asistencia Financiera","1726480","SI","1"
"R-BL-15-10186","2016-08-03T00:00:00.000","Desminado humantario para la Paz","Contribuir a la generación de condiciones para el desarrollo territorial y la construcción de paz en zonas afectadas por MAP y MUSE en el marco de la Estrategia de Respuesta Rápida del Gobierno Nacional.","2016-08-03T00:00:00.000","2018-02-03T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.8 Acción Integral contra Minas Antipersonal.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16. Paz, justicia e instituciones sólidas","Presidencia de la República","THE HALO TRUST","INTERNACIONAL/PRIVADO/EMPRESAS","Reino Unido","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-15-10186","2016-08-03T00:00:00.000","Desminado humantario para la Paz","Contribuir a la generación de condiciones para el desarrollo territorial y la construcción de paz en zonas afectadas por MAP y MUSE en el marco de la Estrategia de Respuesta Rápida del Gobierno Nacional.","2016-08-03T00:00:00.000","2018-02-03T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.8 Acción Integral contra Minas Antipersonal.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16. Paz, justicia e instituciones sólidas","Presidencia de la República","UNIÓN EUROPEA","INTERNACIONAL/ORGANISMO MULTILATERAL/REGIONAL","Bélgica","| Donante","| Asistencia Financiera","2981284.883","SI","1"
"R - BL - 0 - 009666","2016-09-01T00:00:00.000","Convenio FAO - Suecia - URT Segunda fase","2010, R - BL - 0 - 009666, 01/01/1900 0:00:00, 31/12/2018 0:00:00, 01/09/2016 0:00:00, 0, Convenio FAO - Suecia - URT Segunda fase , 0, Bilateral, Default MECANISMOS, Demanda, ,2010, R - BL - 0 - 009666, 01/01/1900 0:00:00, 31/12/2018 0:00:00, 01/09/2016 0:00:00, 0, Convenio FAO - Suecia - URT Segunda fase , 0, Bilateral, Default MECANISMOS, Demanda, ,2010, R - BL - 0 - 009666, 01/01/1900 0:00:00, 31/12/2018 0:00:00, 01/09/2016 0:00:00, 0, Convenio FAO - Suecia - URT Segunda fase , 0, Bilateral, Default MECANISMOS, Demanda, ,2010, R - BL - 0 - 009666, 01/01/1900 0:00:00, 31/12/2018 0:00:00, 01/09/2016 0:00:00, 0, Convenio FAO - Suecia - URT Segunda fase , 0, Bilateral, Default MECANISMOS, Demanda,","2016-09-01T00:00:00.000","2019-10-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/03. Transformación del campo/3.2 Impulsar la competitividad rural.|Estrategias Transversales/03. Transformación del campo/3.5 Cerrar las brechas  Urbanorurales y sentar las bases para la movilidad social.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","02. Hambre cero|08. Trabajo decente y crecimiento económico","Agricultura y Desarrollo Rural","ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA LA ALIMENTACIÓN Y LA AGRICULTURA","INTERNACIONAL/ORGANISMO MULTILATERAL/AGENCIA DEL SISTEMA DE NACIONES UNIDAS","Colombia","| Ejecutor","| Asistencia Financiera","0","SI","1"
